Day,Date,D sim,D data,D error,E sim,E data,E error,F sim,F data,F error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2020-01-01,6002,6000,0.0003,3998,4000,0.0005,1998,2000,0.001,0.00025,12000,12000,24000,11998,0
1,2020-01-02,5997,6000,0.0005,4004,4000,0.001,1996,2000,0.002,0.0004583333333333333,12000,12000,24000,11997,0
2,2020-01-03,5992,6000,0.0013,4006,4000,0.0015,1995,2000,0.0025,0.0007916666666666666,12000,12000,24000,11993,0
3,2020-01-04,5989,6000,0.0018,4008,4000,0.002,1995,2000,0.0025,0.001,12000,12000,24000,11992,0
4,2020-01-05,5986,6000,0.0023,4011,4000,0.0028,1994,2000,0.003,0.0012916666666666667,12000,12000,24000,11991,0
5,2020-01-06,5986,6000,0.0023,4016,4000,0.004,1989,2000,0.0055,0.0017083333333333334,12000,12000,24000,11991,0
6,2020-01-07,5986,6000,0.0023,4018,4000,0.0045,1987,2000,0.0065,0.001875,12000,12000,24000,11991,0
7,2020-01-08,5981,6000,0.0032,4027,4000,0.0068,1983,2000,0.0085,0.002625,12000,12000,24000,11991,0
8,2020-01-09,5975,6000,0.0042,4031,4000,0.0077,1981,2000,0.0095,0.003125,12000,12000,24000,11987,0
9,2020-01-10,5971,6000,0.0048,4035,4000,0.0088,1982,2000,0.009,0.003416666666666667,12000,12000,24000,11988,0
